car_pos_x,car_pos_y,car_vel_x,car_vel_y,car_angular_vel,wheel_angular_vel_left_back,wheel_angular_vel_right_back,min_lidar,wheelVelocity
-0.1,0.0,-0.2,0.1,0.6,17.7,2.3,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.708883, 0.695810854, 0.6840891, 0.673631668, 0.6643633, 0.6562196, 0.649145842, 0.643095136, 0.6380286, 0.6339137, 0.630724847, 0.6284423, 0.627052069, 0.626545846, 0.6269204, 0.6281781, 0.6303265, 0.633378863, 0.6373539, 0.6422766, 0.648177862, 0.655096054, 0.6630764, 0.672173, 0.682448149, 0.693975866, 0.706840158, 0.7211396, 0.7369873, 0.754514754, 0.7738732, 0.795239031, 0.8188164, 0.8448454, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.1,0.8,13.8,2.5,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.697367132, 0.685157955, 0.6742413, 0.66453743, 0.655978441, 0.648505747, 0.6420697, 0.6366282, 0.6321465, 0.628596365, 0.625956, 0.6242089, 0.623344362, 0.6233575, 0.6242481, 0.626021445, 0.6286886, 0.6322659, 0.6367755, 0.642246, 0.648712039, 0.6562163, 0.6648086, 0.6745473, 0.6855011, 0.697749853, 0.71138525, 0.7265134, 0.74325794, 0.761760533, 0.7821859, 0.8047258, 0.8296038, 0.8570809, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.2,0.7,10.2,2.3,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.69756645, 0.6849506, 0.673650444, 0.663583, 0.6546766, 0.646870255, 0.6401111, 0.6343551, 0.62956506, 0.625710666, 0.622768, 0.6207186, 0.619550049, 0.619255364, 0.619832933, 0.6212858, 0.6236231, 0.6268591, 0.63101393, 0.6361134, 0.642190039, 0.6492834, 0.6574402, 0.666715443, 0.67717427, 0.6888912, 0.7019536, 0.716461241, 0.73253113, 0.7502972, 0.7699149, 0.791564763, 0.815457344, 0.8418386, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.2,0.7,16.3,2.5,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6985771, 0.6854716, 0.6737116, 0.663209856, 0.6538903, 0.6456881, 0.6385477, 0.6324219, 0.627270639, 0.623061359, 0.6197676, 0.617368758, 0.6158503, 0.6152031, 0.615423, 0.616511464, 0.61847496, 0.621325731, 0.6250812, 0.6297647, 0.635405838, 0.642041, 0.6497136, 0.658475041, 0.6683858, 0.6795158, 0.6919466, 0.7057722, 0.721102238, 0.738061666, 0.7567961, 0.777475, 0.8002947, 0.825483859, 0.8533115, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.1,0.6,17.5,2.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6857104, 0.673573554, 0.662715554, 0.6530582, 0.6445331, 0.6370817, 0.6306549, 0.625209868, 0.62071234, 0.6171336, 0.614451766, 0.612650037, 0.6117174, 0.6116484, 0.6124426, 0.6141047, 0.61664474, 0.620078564, 0.6244273, 0.629718661, 0.6359861, 0.643270254, 0.6516197, 0.6610916, 0.6717524, 0.6836792, 0.6969605, 0.711700857, 0.7280187, 0.7460521, 0.765960753, 0.787931, 0.812179267, 0.8389582, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.1,0.6,17.5,2.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6857104, 0.673573554, 0.662715554, 0.6530582, 0.6445331, 0.6370817, 0.6306549, 0.625209868, 0.62071234, 0.6171336, 0.614451766, 0.612650037, 0.6117174, 0.6116484, 0.6124426, 0.6141047, 0.61664474, 0.620078564, 0.6244273, 0.629718661, 0.6359861, 0.643270254, 0.6516197, 0.6610916, 0.6717524, 0.6836792, 0.6969605, 0.711700857, 0.7280187, 0.7460521, 0.765960753, 0.787931, 0.812179267, 0.8389582, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,0.7,9.7,2.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6862023, 0.6736587, 0.6624184, 0.652398646, 0.643528, 0.635745, 0.6289975, 0.6232408, 0.6184381, 0.6145587, 0.6115785, 0.609479, 0.608247638, 0.607876539, 0.608363569, 0.609711766, 0.6119296, 0.61503005, 0.6190326, 0.623962462, 0.629850864, 0.6367355, 0.6446622, 0.6536845, 0.6638648, 0.67527616, 0.6880026, 0.7021425, 0.717807651, 0.7351289, 0.7542571, 0.7753673, 0.798664331, 0.8243856, 0.85281074, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,0.8,11.1,3.1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.674818635, 0.6630732, 0.6525768, 0.6432535, 0.6350381, 0.6278746, 0.6217153, 0.616520345, 0.612256348, 0.608896554, 0.6064203, 0.6048121, 0.6040624, 0.6041665, 0.6051251, 0.6069439, 0.60963434, 0.6132127, 0.6177012, 0.623128355, 0.629528642, 0.6369442, 0.645424366, 0.6550277, 0.665821552, 0.67788434, 0.691307545, 0.706196, 0.72267133, 0.7408743, 0.760967731, 0.783140957, 0.8076153, 0.8346493, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,0.9,16.9,2.7,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.677058935, 0.6647151, 0.6536563, 0.6438011, 0.635079265, 0.627430856, 0.620804131, 0.6151559, 0.610449553, 0.60665524, 0.6037494, 0.6017142, 0.600536764, 0.600210547, 0.6007331, 0.6021076, 0.6043428, 0.607451856, 0.6114546, 0.6163755, 0.622246444, 0.6291048, 0.6369962, 0.6459741, 0.6561008, 0.6674486, 0.68010205, 0.694157958, 0.7097289, 0.726944149, 0.7459551, 0.766935647, 0.790089, 0.815652847, 0.843906164, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,0.7,9.7,3.0,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6645548, 0.653132439, 0.642933249, 0.6338838, 0.6259213, 0.618991137, 0.6130482, 0.608053267, 0.6039749, 0.6007874, 0.598471165, 0.597011745, 0.5964005, 0.596633732, 0.5977126, 0.599643946, 0.6024392, 0.606116, 0.610697, 0.616211534, 0.6226944, 0.630188644, 0.6387444, 0.648420632, 0.6592855, 0.671419263, 0.6849134, 0.699874341, 0.7164252, 0.734708, 0.7548883, 0.777157366, 0.801739335, 0.828896463, 0.8589384, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
