car_pos_x,car_pos_y,car_vel_x,car_vel_y,car_angular_vel,wheel_angular_vel_left_back,wheel_angular_vel_right_back,min_lidar,wheelVelocity
-0.2,0.0,-0.3,0.1,0.8,12.6,3.3,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.618207753, 0.602530062, 0.588338554, 0.5755113, 0.563943, 0.5535428, 0.5442319, 0.5359421, 0.528615, 0.5222001, 0.516654432, 0.511941552, 0.508031249, 0.504898965, 0.502524853, 0.500894547, 0.499997973, 0.499829948, 0.500389159, 0.501679, 0.503707469, 0.5064867, 0.5100346, 0.5143728, 0.5195291, 0.525537, 0.53243655, 0.540274, 0.5491046, 0.5589919, 0.5700094, 0.582241952, 0.595788658, 0.6107624, 0.627295554, 0.645540655, 0.6656768, 0.68791157, 0.712490261, 0.7397021, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.0,-0.3,0.2,0.6,10.5,3.8,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6000114, 0.5855667, 0.5725044, 0.560716033, 0.5501081, 0.540599167, 0.5321193, 0.5246076, 0.5180125, 0.5122894, 0.507400453, 0.503314137, 0.5000044, 0.497450858, 0.4956375, 0.4945533, 0.494191647, 0.494550347, 0.495631576, 0.497441679, 0.4999924, 0.5032987, 0.5073818, 0.512267351, 0.5179872, 0.524578631, 0.5320861, 0.5405618, 0.5500666, 0.560669959, 0.572453141, 0.585509956, 0.5999485, 0.615895152, 0.633493662, 0.652915359, 0.674356639, 0.698050737, 0.724270046, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.0,-0.2,0.1,0.5,17.6,3.8,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.5983472, 0.5836368, 0.57032907, 0.5583116, 0.5474884, 0.5377753, 0.5291006, 0.5214011, 0.514623761, 0.5087219, 0.503657, 0.499395818, 0.495911419, 0.493181646, 0.491189927, 0.4899237, 0.48937574, 0.489542156, 0.4904244, 0.4920274, 0.4943615, 0.497440547, 0.5012842, 0.505916357, 0.511366963, 0.517671645, 0.524872661, 0.5330196, 0.5421704, 0.552391469, 0.56376, 0.576366067, 0.590312839, 0.6057203, 0.622726262, 0.641492665, 0.6622078, 0.685092449, 0.7104057, 0.7384561, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.2,0.1,0.5,10.5,3.8,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.5961763, 0.5812601, 0.5677617, 0.5555667, 0.5445761, 0.5347041, 0.5258769, 0.5180304, 0.5111096, 0.5050667, 0.499862015, 0.495461434, 0.4918368, 0.4889652, 0.4868289, 0.485414863, 0.48471427, 0.4847229, 0.485441059, 0.4868726, 0.489026725, 0.4919167, 0.49556005, 0.49998, 0.505205, 0.5112686, 0.5182116, 0.526081562, 0.5349338, 0.5448321, 0.555851161, 0.568076968, 0.581608832, 0.5965614, 0.613068163, 0.6312835, 0.6513888, 0.673594058, 0.698147953, 0.725344837, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.3,0.1,0.4,10.4,3.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.591975331, 0.5766017, 0.5626815, 0.550094366, 0.5387358, 0.528516, 0.5193565, 0.511190057, 0.5039584, 0.4976116, 0.492106557, 0.487407357, 0.483483464, 0.4803099, 0.477867275, 0.476140052, 0.4751181, 0.474794745, 0.475168169, 0.476241022, 0.478019267, 0.480514, 0.4837408, 0.487719685, 0.4924759, 0.498040259, 0.5044493, 0.5117466, 0.5199825, 0.5292161, 0.539515138, 0.55095917, 0.5636386, 0.5776592, 0.5931427, 0.6102316, 0.6290894, 0.649909735, 0.6729176, 0.6983804, 0.726614058, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.3,0.1,0.5,10.8,4.1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.5742774, 0.5601318, 0.547336, 0.5357824, 0.525378466, 0.5160438, 0.507709, 0.500314653, 0.493808776, 0.4881475, 0.483292848, 0.479214132, 0.4758847, 0.473283857, 0.471395731, 0.4702085, 0.4697151, 0.46991232, 0.47080183, 0.472388357, 0.474682033, 0.477696955, 0.4814518, 0.485970467, 0.4912821, 0.497420937, 0.5044287, 0.5123539, 0.5212521, 0.5311887, 0.542239249, 0.554490447, 0.5680437, 0.583014667, 0.59953934, 0.6177746, 0.637903869, 0.6601424, 0.6847435, 0.712006748, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.3,0.2,0.5,10.3,4.1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.571478367, 0.557155848, 0.54419595, 0.532488644, 0.5219394, 0.512466431, 0.5039981, 0.4964738, 0.489840478, 0.4840531, 0.47907266, 0.474867135, 0.4714098, 0.468678474, 0.466656446, 0.4653312, 0.464694858, 0.464743316, 0.46547702, 0.4669005, 0.469022274, 0.471855372, 0.475417316, 0.479731053, 0.484823585, 0.4907286, 0.497485131, 0.505139947, 0.51374656, 0.5233678, 0.534076035, 0.5459547, 0.5591007, 0.5736259, 0.589660645, 0.607355058, 0.626885235, 0.6484568, 0.6723125, 0.6987387, 0.7280758, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.2,0.1,0.4,17.4,3.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.5693767, 0.5548487, 0.541698933, 0.5298152, 0.5190997, 0.5094693, 0.5008504, 0.493180424, 0.4864054, 0.480478853, 0.475361019, 0.4710183, 0.4674231, 0.464552581, 0.462389052, 0.4609188, 0.460133284, 0.460027575, 0.460600883, 0.461856723, 0.4638029, 0.466451377, 0.469818383, 0.473925352, 0.4787981, 0.484468549, 0.490974337, 0.49835968, 0.5066763, 0.5159844, 0.526353061, 0.537862837, 0.5506068, 0.564691663, 0.5802426, 0.597403646, 0.6163437, 0.637258768, 0.6603814, 0.685984433, 0.714392841, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.2,0.1,0.5,9.4,3.6,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.567119658, 0.552423358, 0.539118052, 0.5270893, 0.516237557, 0.5064774, 0.497734576, 0.4899448, 0.4830528, 0.477010965, 0.471778929, 0.4673219, 0.463611454, 0.4606239, 0.458341, 0.456748337, 0.4558362, 0.455599159, 0.4560356, 0.457148671, 0.45894435, 0.461434245, 0.4646336, 0.468562424, 0.473245829, 0.47871387, 0.485002637, 0.492155343, 0.500221, 0.509258, 0.519333, 0.5305237, 0.5429196, 0.5566239, 0.571757, 0.5884578, 0.606888533, 0.6272384, 0.6497302, 0.674626052, 0.7022374, 0.7329362, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.3,0.0,-0.2,0.1,0.5,9.7,3.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.5500398, 0.53654325, 0.5243369, 0.5133188, 0.503401458, 0.494508356, 0.4865742, 0.47954163, 0.473362416, 0.467994452, 0.4634024, 0.459556252, 0.456432134, 0.454010159, 0.452275336, 0.451217145, 0.4508289, 0.4511087, 0.452057928, 0.453682452, 0.455992073, 0.459001273, 0.462728769, 0.467198074, 0.472437829, 0.478483051, 0.4853739, 0.49315846, 0.501891553, 0.511638165, 0.522471964, 0.53447926, 0.5477588, 0.56242615, 0.578614533, 0.5964786, 0.6162001, 0.637991, 0.662102, 0.6888297, 0.7185275, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
