car_pos_x,car_pos_y,car_vel_x,car_vel_y,car_angular_vel,wheel_angular_vel_left_back,wheel_angular_vel_right_back,min_lidar,wheelVelocity
0.0,0.0,-0.2,0.1,0.5,16.5,3.6,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.794603348, 0.7799137, 0.7667322, 0.7549602, 0.7445134, 0.7353183, 0.727313161, 0.720444441, 0.7146678, 0.7099464, 0.7062505, 0.7035574, 0.701850533, 0.701119542, 0.7013599, 0.7025729, 0.7047662, 0.7079532, 0.712153435, 0.717393041, 0.7237052, 0.7311303, 0.7397172, 0.749523461, 0.7606164, 0.7730748, 0.7869896, 0.802466333, 0.8196265, 0.838611364, 0.8595835, 0.882732451, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
0.0,0.0,-0.2,0.1,0.5,16.5,3.6,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.794603348, 0.7799137, 0.7667322, 0.7549602, 0.7445134, 0.7353183, 0.727313161, 0.720444441, 0.7146678, 0.7099464, 0.7062505, 0.7035574, 0.701850533, 0.701119542, 0.7013599, 0.7025729, 0.7047662, 0.7079532, 0.712153435, 0.717393041, 0.7237052, 0.7311303, 0.7397172, 0.749523461, 0.7606164, 0.7730748, 0.7869896, 0.802466333, 0.8196265, 0.838611364, 0.8595835, 0.882732451, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
0.0,0.0,-0.2,0.1,0.6,15.7,3.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7944099, 0.779316962, 0.7657564, 0.7536265, 0.7428391, 0.733317733, 0.7249974, 0.7178227, 0.7117467, 0.706730664, 0.7027429, 0.699758232, 0.6977589, 0.6967326, 0.6966726, 0.697579145, 0.6994573, 0.7023189, 0.7061811, 0.711068153, 0.7170107, 0.724046946, 0.7322223, 0.741591334, 0.752218246, 0.7641772, 0.777555, 0.792451739, 0.8089835, 0.82728374, 0.847507358, 0.8698345, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
0.0,0.0,-0.2,0.1,0.7,10.5,3.3,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.779050946, 0.7650711, 0.752545536, 0.7413827, 0.7315026, 0.722837269, 0.7153285, 0.708926439, 0.703590453, 0.699286342, 0.695987463, 0.6936732, 0.6923295, 0.691948354, 0.6925274, 0.69407, 0.6965856, 0.700089633, 0.704603732, 0.7101565, 0.716782749, 0.7245254, 0.7334358, 0.743574142, 0.7550108, 0.7678275, 0.7821197, 0.7979965, 0.8155852, 0.835031867, 0.856506765, 0.8802066, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
0.0,0.0,-0.3,0.1,0.7,10.7,3.1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7790907, 0.7646266, 0.7516455, 0.7400516, 0.729760647, 0.720701158, 0.712811649, 0.7060397, 0.7003411, 0.6956798, 0.6920267, 0.68935895, 0.6876601, 0.686920047, 0.687134147, 0.688303649, 0.6904357, 0.6935437, 0.6976462, 0.702768862, 0.7089446, 0.716212451, 0.7246203, 0.7342242, 0.745090544, 0.7572962, 0.770930052, 0.786095858, 0.8029123, 0.821517348, 0.8420709, 0.864757955, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.3,0.1,0.8,11.3,3.2,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7793363, 0.7643562, 0.750891447, 0.7388407, 0.728115559, 0.7186407, 0.7103509, 0.703190744, 0.697113, 0.6920795, 0.688057542, 0.6850228, 0.682956338, 0.6818454, 0.6816834, 0.682469249, 0.684207857, 0.686909854, 0.6905915, 0.6952758, 0.700992346, 0.7077774, 0.7156751, 0.7247377, 0.735027432, 0.7466156, 0.759586036, 0.7740355, 0.7900762, 0.807836533, 0.827467144, 0.8491409, 0.8730589, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.3,0.2,0.7,10.0,3.6,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7629541, 0.748595536, 0.7357028, 0.7241793, 0.713942349, 0.7049197, 0.697050154, 0.6902811, 0.6845684, 0.6798761, 0.676174343, 0.6734402, 0.671656966, 0.6708137, 0.670905, 0.6719319, 0.673900664, 0.676822841, 0.6807165, 0.6856064, 0.6915226, 0.698503733, 0.7065948, 0.7158503, 0.7263334, 0.7381178, 0.7512902, 0.7659488, 0.7822083, 0.800202, 0.820082963, 0.842029, 0.8662465, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.2,0.7,14.6,3.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7482966, 0.734941065, 0.7229812, 0.7123295, 0.702910542, 0.6946589, 0.6875198, 0.6814463, 0.676399, 0.6723464, 0.6692629, 0.667129755, 0.665934, 0.665668, 0.6663306, 0.667925239, 0.670462132, 0.673956633, 0.678430438, 0.683911443, 0.6904348, 0.6980426, 0.7067851, 0.716721833, 0.7279223, 0.7404665, 0.754447758, 0.769974053, 0.7871696, 0.8061789, 0.827168465, 0.8503322, 0.8758957, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.2,0.7,14.6,3.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.7482966, 0.734941065, 0.7229812, 0.7123295, 0.702910542, 0.6946589, 0.6875198, 0.6814463, 0.676399, 0.6723464, 0.6692629, 0.667129755, 0.665934, 0.665668, 0.6663306, 0.667925239, 0.670462132, 0.673956633, 0.678430438, 0.683911443, 0.6904348, 0.6980426, 0.7067851, 0.716721833, 0.7279223, 0.7404665, 0.754447758, 0.769974053, 0.7871696, 0.8061789, 0.827168465, 0.8503322, 0.8758957, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.0,-0.2,0.1,0.7,16.5,3.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.748899, 0.7350548, 0.7226357, 0.7115492, 0.701716, 0.693067849, 0.6855456, 0.679099739, 0.6736886, 0.669278, 0.665839732, 0.6633529, 0.6618023, 0.6611781, 0.6614771, 0.6627006, 0.664856, 0.6679571, 0.672022462, 0.677077532, 0.6831544, 0.6902921, 0.6985375, 0.707946062, 0.718582332, 0.7305224, 0.7438535, 0.7586766, 0.7751089, 0.793286145, 0.8133646, 0.8355255, 0.8599813, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
